title,types,score,drector,writer,actor,account,country,label,flim_version
迷夜惨遇,"剧情, 恐怖, 惊悚",5.6,唐·瑞德 Dan Reed,唐·瑞德 Dan Reed,"丹尼·戴尔, 吉莲·安德森, 安东尼·凯尔夫",597,英国,0.33432,1
勾魂恶梦,恐怖,5.6,郑伟文 Wai-Man Cheng,陈十三 Sap Sam Chan,"黄秋生, 张文慈, 吴廷烨, 尹天照, 麦景婷",571,香港,0.31976,1
巧克力噩梦,"惊悚, 恐怖",5.6,米克·加里斯 Mick Garris,米克·加里斯 Mick Garris,"亨利·托马斯, 马特·弗里沃, Stacy Grant",533,"美国, 加拿大",0.29848,1
傲慢与偏见与僵尸,"动作, 爱情, 恐怖",5.5,布尔·斯蒂尔斯 Burr Steers,"布尔·斯蒂尔斯 Burr Steers, 赛斯·格雷厄姆-史密斯 Seth Grahame-Smith, 简·奥斯汀 Jane Austen","莉莉·詹姆斯, 萨姆·赖利, 杰克·休斯顿, 贝拉·希思科特, 道格拉斯·布斯, 马特·史密斯, 查尔斯·丹斯, 琳娜·海蒂, 苏琪·沃特豪斯, 艾玛·格林威尔, 埃斯林·洛福斯, 莎莉·菲利普斯, 艾丽·巴姆博, 米莉·布拉迪",18081,"美国, 英国",9.94455,1
盂兰神功,"惊悚, 恐怖",5.5,张家辉 Nick Cheung,"张家辉 Nick Cheung, 郑建国 Adrian Teh","张家辉, 刘心悠, 林威, 吴家丽, 李元玲",11025,"香港, 马来西亚",6.06375,1
德州电锯杀人狂3D,"惊悚, 恐怖",5.5,John Luessenhop,"Debra Sullivan, Adam Marcus, Kirsten Elms","亚历珊德拉·达达里奥, 坦妮娅·雷蒙德, 特里·桑兹, 克拉姆·马立基·桑切斯, 理查德·里尔, 肖恩·西珀斯, 汤姆·巴瑞, 保罗·瑞, 斯科特·伊斯特伍德",8091,美国,4.45005,1
校墓处,恐怖,5.5,钱文锜,吕冠南,"徐天佑, 张致恒, 傅颖, 李蕙敏, 陈美诗, 麦子豪",7907,香港,4.34885,2
考死2：教学实习,恐怖,5.5,俞善东,null,"黄静音, 朴智妍, 尹时润, 金秀路, 朴恩彬, 崔雅珍",7527,韩国,4.13985,1
姐妹联谊会惊魂,"惊悚, 恐怖",5.5,Stewart Hendler,"Josh Stolberg, Pete Goldfinger","杰米·钟, 拉莫·威利斯, 凯丽·费雪, 布莱恩娜·伊维根, Teri Andrzejewski, 玛尔戈·哈什曼, 丽亚·派普斯",5138,美国,2.8259,0
咒怨：终结的开始,恐怖,5.5,落合正幸 Masayuki Ochia,落合正幸 Masayuki Ochia,"佐佐木希, 青柳翔, 特林德尔·玲奈, 金泽美穗, 高桥春织, 黑岛结菜, 最所美咲, 小林飒, 绯田康人, 袴田吉彦, 宫城大树, 江田结香",5034,日本,2.7687,1
黑夜勿怕,"恐怖, 惊悚",5.5,Troy Nixey,"Matthew Robbins, 吉尔莫·德尔·托罗 Guillermo del Toro, Nigel McKeand","凯蒂·霍尔姆斯, 盖·皮尔斯, 拜莉·麦迪逊, 阿兰·戴尔, Jack Thompson, 朱丽娅·布莱克",2646,"美国, 澳大利亚",1.4553,1
残虐你，娱乐我,"恐怖, 惊悚",5.5,John Simpson,Jake Wade Wall,"吉尔·奥唐奈, 凯瑟琳·温妮克, 劳拉·布雷肯里奇",2566,美国,1.4113,1
鬼雾,"惊悚, 恐怖",5.5,鲁伯特·温莱特 Rupert Wainwright,Cooper Layne,"塞尔玛·布莱尔 Selma Blair, Mary Black, 汤姆·威灵",2359,"美国, 法国",1.29745,3
惨死,"恐怖, 惊悚",5.5,"普安农  Poj Arnon, Chatchai Katenut, Tanwarin Sukkhapisit, Manussa Vorasingha",null,"麦察蓉普拉, Akara Amarttayakul, 苏帕克森·柴蒙蔻, 唐宸禹, Uttaporn Teemakorn, Wiradit Srimalai, Pimolrat Pisalayabuth, Kachapa Toncharoen, Vasana Chalakorn, Ratchanont Sukpragawp, 阿丽莎拉·唐伯妮苏",2198,泰国,1.2089,1
富江 冤有头,恐怖,5.5,光石冨士朗,"玉城悟, 伊藤潤二(原作)","山口紗弥加, 宝生舞, 窪塚洋介, 菅田俊, 金久美子, 遠藤憲一, 冨樫真, 松尾政寿, モロ師岡, 伊藤潤二",1605,日本,0.88275,1
万圣节传说,恐怖,5.5,"达伦·林恩·鲍斯曼 Darren Lynn Bousman, 尼尔·马歇尔 Neil Marshall, 路克·马克 Lucky McKee, 迈克·门德兹 Mike Mendez, 保罗·索雷特 Paul Solet, Axelle Carolyn, Adam Gierasch, Andrew Kasch, Dave Parker, Ryan Schifrin, John Skipp","达伦·林恩·鲍斯曼 Darren Lynn Bousman, 尼尔·马歇尔 Neil Marshall, 路克·马克 Lucky McKee, 迈克·门德兹 Mike Mendez, 克林特·西尔斯 Clint Sears, Axelle Carolyn, Andrew Kasch, Dave Parker, Ryan Schifrin, John Skipp","波波·斯图尔特, 格蕾丝·菲普斯, 奥斯丁·法尔克, 阿德里安娜·巴比欧, 凯尔·吉克瑞斯特, 山姆·威特沃, 巴瑞·波斯威克, 格雷戈·格伦伯格, 林·沙烨, 约翰·兰迪斯, 何塞·巴勃罗·坎蒂略, 巴巴拉·克兰普顿, 乔·丹特, 亚当·格林, 罗伯特·拉斯勒, 诺阿·西甘, 帕特·希利, 斯图尔特·戈登, 米克·加里斯, 拉斐尔·乔丹, 宝拉雅娜·麦金托什, 詹姆斯·杜瓦尔, 艾丽克斯·埃索, Kristina Klebe, 卡罗琳·威廉姆斯, 达纳·古尔德",1358,美国,0.7469,1
入侵者,"剧情, 惊悚, 恐怖",5.5,亚当·辛德勒 Adam Schindler,"T.J. 希玛菲尔 T.J. Cimfel, 大卫·怀特 David White","马丁·斯塔尔, 贝丝·涅斯格拉夫, 罗瑞·卡尔金, 杰克·凯西, 莱蒂西亚·吉门尼斯 , 约书亚·米克尔, 蒂莫西·T·麦金尼 ",1331,美国,0.73205,1
致命围困,"恐怖, 惊悚",5.5,Gilles Paquet-Brenner,"Rodolphe Tissot, Olivier Volpi","米莎·巴顿, 黛博拉·卡拉·安格, 卡梅隆·布莱特",1255,"美国, 法国, 加拿大",0.69025,2
女劫,恐怖,5.5,"罗克珊·本杰明· Roxanne Benjamin, 卡瑞恩·库萨马 Karyn Kusama, 圣·文森特 St. Vincent, 乔宛卡·默克维克 Jovanka Vuckovic","杰克·珂强 Jack Ketchum, 乔宛卡·默克维克 Jovanka Vuckovic, 罗克珊·本杰明· Roxanne Benjamin, 圣·文森特 St. Vincent, 卡瑞恩·库萨马 Karyn Kusama","娜塔莉·布朗, 乔纳森·沃顿, 彼得·达莰哈, 佩顿·甘乃迪, 罗恩·利, 迈克尔·戴森, 梅兰妮·林斯基, 塞思·杜哈梅, 萨奈·维多利亚, 希拉·凡德, 琳赛·柏奇",1221,"加拿大, 美国",0.67155,1
半身死灵,恐怖,5.5,白石晃士,秋本健树,"大岛优子, 山崎真实, 萤雪次朗, 阿部进之介",1191,日本,0.65505,1
案山子,"奇幻, 恐怖",5.5,鹤田法男 Norio Tsuruta,"伊藤润二 Junji Ito, 鹤田法男 Norio Tsuruta, 村上修 Osamu Murakami","野波麻帆, 田中要次, 叶佩雯, 有园芳记, 河原崎建三",1148,日本,0.6314,1
神秘的地洞,"恐怖, 惊悚, 西部",5.5,J.T. Petty,J.T. Petty,"克兰西·布朗, 威廉·麦鲍瑟, 道格·休切逊",1051,美国,0.57805,1
兽性新人类,"惊悚, 恐怖, 情色",5.5,钱文琦,钱文琦,"梁焯满, 谭筠怡, 颜仟汶, 司马华龙, 周家如",977,香港,0.53735,1
危险行为,"犯罪, 惊悚, 恐怖",5.5,萨姆·米勒 Sam Miller,艾梅·拉各斯 Aimee Lagos,"伊德里斯·艾尔巴, 塔拉吉·P·汉森, 凯特·德尔·卡斯蒂洛, 亨利·西蒙斯, 肯尼思·安格, 莱丝莉·比伯, 维布尔·弗利茨杰拉德, 弗兰克·布伦南, 肯尼·阿方索",957,美国,0.52635,1
恐怖愚人节,恐怖,5.5,"Mitchell Altieri, Phil Flores","Mitchell Altieri, Phil Flores","泰勒·科尔, Sabrina Aldridge, Michael Beasley, 乔什·亨德森, 丝柯·泰勒-考普顿",840,美国,0.462,1
血染黄沙,"剧情, 惊悚, 恐怖",5.5,柯林·米尼汉 Colin Minihan,"柯林·米尼汉 Colin Minihan, 斯图尔特·奥尔蒂斯 Stuart Ortiz","布列塔尼·艾伦, 胡安·雷丁格尔, 默温·蒙德瑟, 克里斯托弗·希金斯, 安德鲁·苏潘兹, 尼科·戴维, 迈克尔·菲利波维奇, 迪伦·普莱费尔, 沃伦·E·托马斯, 斯蒂夫·贾金斯",821,美国,0.45155,1
前哨2：黑太阳,"动作, 恐怖",5.5,史蒂夫·巴克 Steve Barker,"史蒂夫·巴克 Steve Barker, Rae Brunton","理查德·柯伊尔, Catherine Steadman",705,英国,0.38775,1
一眉道姑,"喜剧, 恐怖",5.5,陈志华 Chi-Hwa Chen,Joseph Chan,"吴君如, 江欣燕, 楼南光, 杜德伟, 曹查理",661,香港,0.36355,2
鬼迷心窍,恐怖,5.5,查传谊 (Chuen-Yee Cha),null,"黄秋生, 李若彤, 任达华",653,"香港, 中国大陆",0.35915,1
美国杀人魔2,"犯罪, 恐怖, 惊悚",5.5,Morgan J. Freeman,"Alex Sanger, Karen Craig","米拉·库尼斯, 格兰特·维恩·戴维斯, 林蒂·布丝, 威廉·夏特纳, 乔什·卢卡斯",639,美国,0.35145,1
奇缘,"恐怖, 动作",5.5,程小东 Siu-Tung Ching,"徐正康 Cheng-kang Tse, 巴金 Jin Ba","周润发, 朱宝意, 蓝洁瑛, 狄威",565,香港,0.31075,1
丧尸禁区,"喜剧, 恐怖",5.5,"Martijn Smits, Erwin van den Eshof",Tijs van Marle,"Rik Sinkeldam, 艾哈迈德·阿卡比, Gigi Ravelli",563,荷兰 Netherlands,0.30965,0
一咬OK,"喜剧, 恐怖",5.5,冼杞然 Stephen Shin,"郑兆强 Siu-keung Cheng, 梁鸿华 Tony Leung Hung-Wah","林子祥, 关之琳, 徐少强, 许绍雄, 郑柏林",551,香港,0.30305,1
鬼银幕,恐怖,5.5,????????? ???????,????????? ???????,"????? ??????, ??????? ??????????, ???? ?????????",539,泰国,0.29645,0
捕鼠者,"剧情, 惊悚, 恐怖",5.5,布兰登·克雷默 Branden Kramer,布兰登·克雷默 Branden Kramer,"艾什莉·本森, 马特·麦高瑞, 凯丽·维诺夫, 丽贝卡·纳奥米·琼斯, 亚历克斯·克兰默, 迈克尔·威廉·弗里曼, 约翰·安德森, 迪伦·查尔菲, 卡尔·格洛斯曼, 乔恩·巴斯, 特丽·卡斯特, 特德·科赫, 杰森·寇勒图尔斯",520,美国,0.286,1
夜半2点钟,"喜剧, 恐怖",5.5,钱永强 Andy Chin,"邓长毛, 罗金泉 Gam Chuen Law, 蔡旗志, 钱永强 Andy Chin, 张丽玲","陈小春, 周文健, 黄伟文, 徐锦江, 陈宝莲, 徐濠萦, 罗冠兰, 黎瑞恩, 罗敏庄, 黄悦, 罗兰, 李兆基",509,香港,0.27995,1
尸骨化肥,"喜剧, 恐怖",5.5,"Cameron Cairnes, Colin Cairnes","Colin Cairnes, Cameron Cairnes","达蒙·海瑞曼, Angus Sampson, Anna McGahan, Oliver Ackland, James Kristian, 约翰·贾瑞特, Chrissie Page, Paul Blackwell",501,澳大利亚,0.27555,0
人皮客栈3,恐怖,5.4,斯科特·斯皮格尔 Scott Spiegel,"John Fasano, 伊莱·罗斯 Eli Roth","布莱恩·哈利塞 Brian Hallisay, 约翰·亨斯利, 琦普·帕杜",11017,美国,5.94918,1
曼蒂,"动作, 犯罪, 恐怖",5.4,帕诺斯·科斯马图斯 Panos Cosmatos,"帕诺斯·科斯马图斯 Panos Cosmatos, 亚伦·斯图尔特-安 Aaron Stewart-Ahn","尼古拉斯·凯奇, 安德丽亚·瑞斯波罗格, 莱纳斯·罗彻, 奈德·丹内利, 欧文·富尔, 理查德·布雷克, 比尔·杜克, 兰恩·皮雷, 克莱蒙·马霍内, 亚历克西斯·朱蒙特",8288,"美国, 比利时, 英国",4.47552,1
棺木,"恐怖, 惊悚",5.4,Ekachai Uekrongtham,Ekachai Uekrongtham,"莫文蔚, 连凯, Napakpapha Nakprasitte, 阿南达·爱华灵咸, 弗罗伦丝·费佛瑞",6073,"泰国, 韩国, 新加坡, 美国",3.27942,1
我唾弃你的坟墓：复仇在我,"惊悚, 恐怖",5.4,R.D. Braunstein,Daniel Gilboy,"莎拉·巴特勒, 詹妮弗·兰登, 道格·麦克昂, 加布里埃尔·霍根, 哈莉·简·科扎克, 米歇尔·赫德, 拉塞尔·皮茨, 沃特尔·派瑞兹, 凯伦·斯特拉斯曼, Christopher Hoffman, 梅格·赖希, 亚当·邓内尔斯, 艾丽莎·朱万, 鲍比·里德, 阿拉·克罗特, 杰夫·布兰森, 罗德尼·伊士曼",4358,美国,2.35332,1
咒怨3(美版),恐怖,5.4,Toby Wilkins,Brad Keene,"玛丽娜·赛提斯, 肖妮·史密斯, 马修·奈特, 博·米尔乔夫",4025,美国,2.1735,1
复仇之角,"惊悚, 恐怖, 奇幻",5.4,亚历山大·阿嘉 Alexandre Aja,"基思·布宁 Keith Bunin, 乔·希尔 Joe Hill","丹尼尔·雷德克里夫, 朱诺·坦普尔, 海瑟·格拉汉姆, 凯丽·加纳, 塞布丽娜·卡彭特, 大卫·摩斯, 乔·安德森, 詹姆斯·瑞马尔, 麦克思·明格拉, 凯瑟琳·奎南, 迪兰·施密德",3435,美国,1.8549,1
恐怖极限游戏,"惊悚, 恐怖",5.4,David Guy Levy,Steffen Schlachtenhaufen,"布兰特妮·斯诺, 杰弗瑞·考姆斯, 约翰尼·科瓦内, 小拉瑞·吉拉德, 安维尔·乔卡亚, 萨莎·格蕾, 约翰·赫德, 查理·霍夫赫梅尔, 洛根·米勒, 琼·斯奎布, 埃迪·斯蒂普斯",3315,美国,1.7901,1
诚聘保姆,"恐怖, 惊悚",5.4,"Jonas Barnes, Michael Manasseri",Jonas Barnes,"萨拉·汤普森, 马特·达拉斯, 布鲁斯·托马斯, 比尔·莫斯利, Monty Bane",3076,美国,1.66104,1
人皮脸,"惊悚, 恐怖",5.4,"亚历山大·布斯蒂罗 Alexandre Bustillo, 朱利安·莫利 Julien Maury","塞斯·M·舍伍德 Seth M. Sherwood, 金·亨克尔 Kim Henkel, 托比·霍珀 Tobe Hooper","斯蒂芬·多尔夫, 莉莉·泰勒, 萨姆·斯特里克, 凡妮莎·格拉斯, 菲恩·琼斯, 萨姆·科尔曼, 杰西卡·马德森, 詹姆斯·布鲁尔, 克里斯托弗·亚当森, 迪莫·亚历克谢夫, 内森·库珀, 德扬·安格洛夫, 鲍里斯·卡巴切夫",2803,美国,1.51362,1
魔鬼游乐场,"动作, 恐怖",5.4,Mark McQueen,Bart Ruspoli,"Danny Dyer, Shane Taylor, Craig Fairbrass, Daniela Denby-Ashe, Bart Ruspoli, Lisa McAllister",2584,英国,1.39536,1
狮口惊魂,"恐怖, 惊悚",5.4,Darrell Roodt,"Darrell Roodt, Beau Bauman","布丽姬·穆娜, 彼得·威勒, 卡莉·许洛德",2475,"美国, 南非",1.3365,1
鬼娃的诅咒,"惊悚, 恐怖",5.4,唐·曼西尼 Don Mancini,唐·曼西尼 Don Mancini,"菲奥娜·道里夫, 布拉德·道里夫, 布伦南·埃利奥特, 丹尼尔·比苏蒂, A·马丁内斯, Chantal Quesnelle, 梅特兰·麦康奈尔",2463,美国,1.33002,1
杀人房间,"剧情, 恐怖, 惊悚",5.4,Jonathan Liebesman,"Gus Krieger, Ann Peacock","Chlo? Sevigny, Clea DuVall, Peter Stormare, Nick Cannon",1951,美国,1.05354,1
1303大厦,恐怖,5.4,及川中,"大石圭, 佐藤孝昌, 及川中","中越典子, 古田新太, 板谷由夏, 上原香代子",1761,"日本, 美国",0.95094,1
荒野,"剧情, 惊悚, 恐怖",5.4,Adam MacDonald,Adam MacDonald,"梅西·帕瑞格兰, 艾里克·巴弗尔, 尼古拉斯·坎贝尔",1539,加拿大,0.83106,1
圣诞节恐怖故事,恐怖,5.4,"Grant Harvey, Steven Hoban","James Kee, Sarah Larsen","米歇尔·诺尔顿, 山农·库克, Zoé De Grand Maison",1490,加拿大,0.8046,1
恶灵入侵,"恐怖, 惊悚",5.4,胡安·卡洛斯·弗雷斯纳迪罗 Juan Carlos Fresnadillo,"Nicolás Casariego, Jaime Marqués","克里夫·欧文, Izán Corchero, 卡里斯·范·侯登, 丹尼尔·布鲁尔",1483,"美国, 英国, 西班牙",0.80082,1
旧情不散,"剧情, 爱情, 恐怖",5.4,Piyapan Choopetch,Adirek Wattaleela,"查克利·彦纳姆, Wanida Termthanaporn, Navadee Mokkhavesa, Atthama Chiwanitchaphan, Bordin Duke",1403,泰国,0.75762,1
血战墓碑镇,"动作, 奇幻, 恐怖",5.4,罗伊·雷内 Roel Reiné,"Brendan Cowles, Shane Kuhn","米基·洛克, 丹尼·特雷霍, 迪娜·迈耶, 安东尼·迈克尔·豪尔, 理查德·迪兰, 科林·梅斯",1356,美国,0.73224,1
亡界之门,恐怖,5.4,约翰内斯·罗伯茨 Johannes Roberts,"约翰内斯·罗伯茨 Johannes Roberts, 欧内斯特·里埃拉 Ernest Riera","莎拉·韦恩·卡丽丝, 杰瑞米·西斯托, 哈维尔·博泰特, 索菲亚·罗新斯基, 洛根·克里伦, 贾克斯·马尔科姆, 苏奇拉·皮莱-马利克",1308,"印度, 英国, 美国",0.70632,1
末世人间道,"动作, 惊悚, 恐怖",5.4,王天尉 Sky Wang,"王天尉 Sky Wang, 吴佰营 Baiying Wu, 赵飞尔","杨添明, 杨明逸, 张伊楠, 王昱超, 贾凤柱, 陈芊桦, 唐鑫, 杨漫",1286,中国大陆,0.69444,1
承诺,"剧情, 惊悚, 恐怖",5.4,索分·沙达菲斯 Sopon Sukdapisit,"索分·沙达菲斯 Sopon Sukdapisit, Sopana Chaowiwatkul, Supalerk Ningsanond","楠迪·宗拉维蒙, 安比查雅·松可寒, Thunyaphat Pattarateerachaicharoen, Panisara Rikulsurakan, Duentem Salitul, Benjamin Joseph Varney, Suchada Poonpattanasuk, Surachai Ningsanond, Teerapop Songwaja, Duangjai Hiransri",1187,泰国,0.64098,1
蝙蝠,"惊悚, 恐怖",5.4,路易斯 莫纽 (Louis Morneau),John Logan,"卢·戴蒙德·菲利普斯 Lou Diamond Phillips, 戴安· 梅尔 Dina Meyer, 鲍勃·冈顿 Bob Gunton",1039,美国,0.56106,1
富江3：重生,恐怖,5.4,清水崇 Takashi Shimizu,"藤冈美畅 Yoshinobu Fujioka, 伊藤润二 Junji Ito","酒井美纪, 妻夫木聪, 邑野未亚, 诹访太朗, 远藤久美子, 黄川田将也, 中岛裕, 忍成修吾, 大塚良重, 平岩紙",1033,日本,0.55782,1
坟墓舞者,"恐怖, 惊悚",5.4,Mike Mendez,"Brad Keene, Chris Skinner","克莱儿·克拉莫 Clare Kramer, 多米尼克·珀塞尔, 约希·麦兰, Marcus T. Thomas, Megahn Perry",954,美国,0.51516,1
疯狂的米罗,"喜剧, 恐怖",5.4,Jacob Vaughan,"Benjamin Hayes, Jacob Vaughan","帕特里克·沃伯顿, Nick Jaine, 彼得·斯特曼, 吉莉安·雅各布斯, 肯·马里诺, 斯蒂芬·鲁特, 乔纳森·丹尼尔·布朗, 托比·胡斯",934,美国,0.50436,1
黑色圣诞节,"恐怖, 惊悚",5.4,Glen Morgan,Glen Morgan,"凯蒂·卡西迪, 米歇尔·崔切伯格, 玛丽·伊丽莎白·温斯特德, 克里森·克拉克",904,"美国, 加拿大",0.48816,2
死在那年夏天,"剧情, 恐怖",5.4,Saranyoo Jiralak,null,"吉拉育·拉翁马尼, Suthatta Udomsilp, ????????? ???????????, ??? ???????????????, ???????? ???????????",887,泰国,0.47898,1
断魂小丑,"惊悚, 恐怖",5.4,Damien Leone,null,"Catherine Corcoran, 珍娜·凯内尔, 玛格丽特·里德, Kamal Ahmed, David Howard Thornton, 凯蒂·马奎尔, Sylvia Ward",869,美国,0.46926,1
幻象,"惊悚, 恐怖",5.4,凯文·格劳特 Kevin Greutert,"L.D.高菲冈 L.D. Goffigan, 卢卡斯·苏斯曼 Lucas Sussman","艾拉·菲舍尔, 吉姆·帕森斯, 安松·蒙特, 吉莉安·雅各布斯, 拜斯·约翰逊, 罗伯托·桑切斯, 伊娃·朗格利亚, 杰夫·布兰森, 约翰·德·兰西, 乔安娜·卡西迪",803,美国,0.43362,1
天呐我的丧尸！,"喜剧, 恐怖",5.4,神本忠弘 Yoshihiro Kamimoto,神本忠弘 Yoshihiro Kamimoto,"角田晃広, 友坂理惠, 森下能幸, 町田玛丽, 柾木玲弥, 萩原利久, 謝花弘規, 福本晟也, 星野園美, 玄田哲章, 間宮くるみ, 恒松步, 金光宣明, 绫田俊树, 深水元基",768,日本,0.41472,1
小恶魔,"喜剧, 恐怖",5.4,艾利·克雷格 Eli Craig,艾利·克雷格 Eli Craig,"伊万杰琳·莉莉, 亚当·斯科特, 莎莉·菲尔德, 克兰西·布朗, 凯尔·柏海莫, 卡拉·盖洛, 泰勒·莱伯恩, 唐纳德·法森, 布里奇特·埃弗里特, 克里斯·德埃利亚, 欧文·阿特拉斯, 汉克·哈里斯, 萨莎·威廉斯, 克里斯托弗·米勒, 布拉德·威廉姆斯",726,美国,0.39204,1
搭车遇狼惊魂记,"惊悚, 恐怖",5.4,伊恩·索夫特雷 Iain Softley,"金佰利·洛夫斯特罗姆·约翰逊 Kimberly Lofstrom Johnson, 李·帕特森 Lee Patterson","朱莉安·浩夫, 泰迪·西尔斯, 佩内洛普·米契尔, 马达琳·侯切尔, 德鲁·劳施, 库尔特·布莱恩特",680,美国,0.3672,1
女妖,恐怖,5.4,格雷戈·毕晓普 Gregg Bishop,"大卫·布鲁克纳 David Bruckner, 本·柯林斯 Ben Collins, 卢克·皮厄特罗斯基 Luke Piotrowski, 尼古拉斯·特科斯基 Nicholas Tecosky","蔡斯·威廉逊, 汉娜·费尔曼, 贾斯汀·维尔伯恩, 海耶斯·梅居尔, 迈克尔·艾伦·米利甘, 布列塔尼·S·霍尔, 兰迪·麦克道维尔, 林赛·加勒特, 威廉·麦克·麦库洛, 斯蒂芬·卡迪尔, 布莱恩·杜尔金, 普雷斯顿·詹姆斯·希利耶, 爱丽舍·杜福尔",677,美国,0.36558,1
食人之饥,"剧情, 恐怖",5.4,罗宾·奥贝尔 Robin Aubert,Robin Aubert,"Marc-André Grondin, 莫妮亚·肖克里, Charlotte St-Martin",654,Canada,0.35316,0
掠杀者,"动作, 惊悚, 恐怖",5.4,"""Brian OMalley""","Fiona Watson, David Cairns","利亚姆·坎宁安, 宝拉雅娜·麦金托什, 汉娜·斯坦布里奇, 布莱恩·拉金, 尼尔·格雷格·富尔顿, 道格拉斯·拉塞尔, 乔纳森·沃森, 布莱恩·威纳尔",639,"英国, 爱尔兰",0.34506,1
非请勿进,"恐怖, 惊悚, 犯罪",5.4,William Malone,"Josephine Coyle, Moshe Diamant","斯蒂芬·多尔夫, 娜塔莎·麦克艾霍恩, 斯蒂芬·瑞",621,"英国, 德国, 卢森堡, 美国",0.33534,1
新羔羊医生,"恐怖, 惊悚",5.4,钟少雄 Siu-hung Chung,null,"任达华, 李灿森, 郑浩南, 陈英丽",576,香港,0.31104,0
疯狗,"恐怖, 惊悚",5.4,Paddy Breathnach,Spence Wright,"阿莉尔·凯贝尔, 莎拉·卡特, 斯蒂芬·迪兰, 安德鲁·李·波兹, 阿莱克斯·温德汉姆, 凯蒂·麦克格雷斯, 克里斯蒂娜·钟, 马丁·康普斯顿, 迈克尔·吉普森, 玛安娜·本灵, 科林·斯廷顿, Nick Hardin, 迈克尔·J·雷诺兹, Sarah Wilson, 阿特·帕金森",574,英国,0.30996,1
边陲,"犯罪, 恐怖, 惊悚",5.4,Zev Berman,"Eric Poppen, Zev Berman","布莱恩·普莱斯列, 莱德尔·斯特朗, Jake Muxworthy",556,美国,0.30024,1
富江,恐怖,5.4,猪股敏郎,及川章太郎,"永井流奈, 白井晃, 田中千絵, 金子統昭, 奥野敦士, 吉田智則",513,日本,0.27702,1
恶床,恐怖,5.4,Jeff Maher,"Cody Calahan, Jeff Maher","Colin Price, 阿莉莎·金, 格温琳·库门, Dennis Andres, George Krissa, Hamza Fouad, Alex Loubert, Mary-Elizabeth Willcott, Craig Cyr, Tom Marasovic, Dwayne Bryshun, Samantha Cole, Blair Anderson, Hailey Kittle, Emma Chwastiak, Will Clubb, Joseph Cannata",509,加拿大,0.27486,1
致命弯道4：血腥起源,恐怖,5.3,"""德克兰·奥布莱恩 Declan OBrien""","""德克兰·奥布莱恩 Declan OBrien""","詹妮弗·皮达维克, 泰妮卡 戴维斯, 迪恩·阿姆斯特朗, 阿里·塔塔林, 小维克多·津克, 凯特琳·勒柏, 凯特琳·勒柏 Kaitlyn Leeb",9270,美国,4.9131,1
咒怨：黑少女,恐怖,5.3,安里麻里 Mari Asato,安里麻里 Mari Asato,"加护亚依, 濑户康史, 中村友理, 高树玛利亚, 松本花奈",8982,日本,4.76046,1
魔界契约,"动作, 恐怖, 惊悚",5.3,雷尼·哈林 Renny Harlin,JS·卡顿 J.S. Cardone,"史蒂文·斯崔特, 塞巴斯蒂安·斯坦, 托比·海明威, 劳拉·莱姆希, 泰勒·克奇, 切斯·克劳福, 杰西卡·卢卡斯",4804,美国,2.54612,1
鬼驱人,"惊悚, 恐怖",5.3,吉尔·克兰 Gil Kenan,"大卫·林赛-阿贝尔 David Lindsay-Abaire, 史蒂文·斯皮尔伯格 Steven Spielberg","山姆·洛克威尔, 罗丝玛丽·德薇特, 萨克斯·沙比诺, 凯尔·凯特莱特, 肯尼迪·克莱蒙兹, 杰瑞德·哈里斯, 简·亚当斯, Susan Heyward, 尼可拉斯·博朗, Karen Ivany, 帕特里克·加洛",3091,美国,1.63823,1
疯狂父母,"惊悚, 恐怖",5.3,布莱恩·泰勒 Brian Taylor,布莱恩·泰勒 Brian Taylor,"尼古拉斯·凯奇, 塞尔玛·布莱尔, 安妮·文特斯, 兰斯·亨利克森, 约瑟夫·D·雷特曼, 瑞秋·梅尔文, 安吉·威尔莫特, 奥利维亚·克劳希奇娅, 洛雷娜·迪亚兹, 扎克瑞·亚瑟, 萨曼莎·莱摩尔, 凯蒂·斯图尔特, 乔治·格里菲斯, 纳撒尼尔·赛兹莫尔, 迈克尔·奇克, 博昂内·戴维斯, 克里斯汀·岱伊",3047,美国,1.61491,1
恐怖列车,"恐怖, 惊悚",5.3,Gideon Raff,Gideon Raff,"索拉·伯奇, 吉迪恩·埃默里, Kavan Reece, Derek Magyar, 格罗瑞亚·沃特西斯, Todd Jensen, Vladimir Vladimirov",2801,美国,1.48453,1
尸骨无存2,"恐怖, 惊悚",5.3,Ti West,"Joshua Malkin, Randy Pearlstein","Rider Strong, Noah Segan, Alexander Isaiah Thomas",2625,美国,1.39125,1
少女怪谈,恐怖,5.3,吴仁天 In-chun Oh,null,"姜河那, 金素恩, 李雅贤",2393,韩国,1.26829,1
死神蘑菇,"恐怖, 惊悚",5.3,Paddy Breathnach,Pearse Elliott,"琳赛·霍恩, 杰克·休斯顿, 马科斯·卡锡, 玛雅·哈曾, 爱丽丝·格蕾岑",2142,"爱尔兰, 丹麦, 英国",1.13526,2
9路冥婚,"惊悚, 恐怖",5.3,Rapeepimol Chaisaena,null,"Patitta Attayatamavitaya, Setsit Limkasitdej, Thiti Vetchabul",1922,泰国,1.01866,1
死不瞑目,"恐怖, 惊悚",5.3,Jason Todd Ipson,"Chris Billett, Jason Todd Ipson","Corri English, Scot Davis, 约舒华·阿尔巴",1881,美国,0.99693,2
